Fold,Label,Precision,Recall,F1
1,Subjective,0.24647887323943662,0.5,0.330188679245283
1,Ambiguous,0.44782608695652176,0.6866666666666666,0.5421052631578948
1,Nonverifiable,0.32857142857142857,0.5287356321839081,0.4052863436123348
1,Negative,0.5346534653465347,0.8852459016393442,0.6666666666666666
1,Vague,0.421875,0.6585365853658537,0.5142857142857142
2,Subjective,0.3162393162393162,0.5285714285714286,0.39572192513368987
2,Ambiguous,0.4766355140186916,0.68,0.5604395604395604
2,Nonverifiable,0.39097744360902253,0.6046511627906976,0.4748858447488584
2,Negative,0.6341463414634146,0.8387096774193549,0.7222222222222222
2,Vague,0.36423841059602646,0.6790123456790124,0.47413793103448276
3,Subjective,0.25806451612903225,0.45714285714285713,0.32989690721649484
3,Ambiguous,0.463768115942029,0.6357615894039735,0.5363128491620112
3,Nonverifiable,0.3706293706293706,0.6091954022988506,0.4608695652173913
3,Negative,0.5108695652173914,0.7580645161290323,0.6103896103896104
3,Vague,0.48214285714285715,0.6666666666666666,0.5595854922279793
4,Subjective,0.3220338983050847,0.5428571428571428,0.40425531914893614
4,Ambiguous,0.47844827586206895,0.7350993377483444,0.5796344647519582
4,Nonverifiable,0.3691275167785235,0.632183908045977,0.4661016949152542
4,Negative,0.5833333333333334,0.7903225806451613,0.6712328767123288
4,Vague,0.46774193548387094,0.7160493827160493,0.5658536585365853
5,Subjective,0.3153846153846154,0.5774647887323944,0.4079601990049751
5,Ambiguous,0.5410628019323671,0.7466666666666667,0.6274509803921569
5,Nonverifiable,0.4014084507042254,0.6551724137931034,0.4978165938864629
5,Negative,0.575,0.7419354838709677,0.647887323943662
5,Vague,0.3902439024390244,0.5853658536585366,0.4682926829268293
